Brand,Division,Delivery,Table,Take_Away,Total
Conut,Bev Add-ons,0.0,1197189.17,0.0,1197189.17
Conut,CHIMNEY TOPPINGS,0.0,73241755.78,3933243.19,77174998.97
Conut,CONUT''S FAVORITE,0.0,4978135.13,0.0,4978135.13
Conut,Conuts,0.0,0.0,0.0,0.0
Conut,DRINK TYPE,0.0,0.0,0.0,0.0
Conut,Delivery Service,1668648.63,49821080.42,0.0,51489729.04
Conut,EXTRA CHIMNEY,0.0,11799729.57,1072702.69,12872432.26
Conut,EXTRA CONUT,0.0,3000918.86,90054.05,3090972.91
Conut,EXTRA DIP,0.0,1668648.63,238378.38,1907027.0
Conut,EXTRA MINI SPREAD,0.0,59594.59,0.0,59594.59
Conut,Extras and Sides,0.0,148748106.12,5721081.0,154469187.13
Conut,FREE CHIMNEY TOP,0.0,7926080.98,655540.53,8581621.51
Conut,FREE CONUT TOP,0.0,12710864.56,304594.58,13015459.14
Conut,FREE MINI TOP,0.0,3743864.8,30459.46,3774324.25
Conut,Frappes,0.0,18594837.59,1609054.03,20203891.62
Conut,Free Chimney Cake Spreads,0.0,953513.5,178783.78,1132297.28
Conut,Free Conut Spreads,0.0,182756.75,30459.46,213216.21
Conut,Holder,0.0,0.0,0.0,0.0
Conut,Hot and Cold Drinks,0.0,96098265.21,5323783.56,101422048.77
Conut,Hot-Coffee Based,0.0,36148756.43,655540.53,36804296.96
Conut,ITEMS,13440567.59,3647019679.34,177297892.07,3837758139.0
Conut,MARSHMALLOW OPTIONS,0.0,238378.38,0.0,238378.38
Conut,MILK OPTIONS,0.0,0.0,0.0,0.0
Conut,MINI/CONUT/BOWL,0.0,13023405.17,360216.21,13383621.38
Conut,Shakes,0.0,45768648.79,1430270.28,47198919.07
Conut,coffee type,0.0,0.0,0.0,0.0
Conut,free dip,0.0,357567.56,119189.19,324324.32
Conut,free mini spread,0.0,0.0,30459.46,20720.72
Conut - Tyre,Bev Add-ons,0.0,0.0,450270.26,306306.3
Conut - Tyre,CHIMNEY TOPPINGS,8283648.54,0.0,89868647.45,66770269.38
Conut - Tyre,CONUT''S FAVORITE,0.0,0.0,4231216.2,2878378.37
Conut - Tyre,Conuts,0.0,0.0,0.0,0.0
Conut - Tyre,DRINK TYPE,0.0,0.0,0.0,0.0
Conut - Tyre,Delivery Service,19785405.14,0.0,0.0,13459459.28
Conut - Tyre,EXTRA CHIMNEY,536351.34,0.0,5125135.07,3851351.3
Conut - Tyre,EXTRA CONUT,0.0,0.0,2010324.28,1367567.54
Conut - Tyre,EXTRA DIP,357567.56,0.0,3218108.07,2432432.4
Conut - Tyre,EXTRA MINI SPREAD,0.0,0.0,357567.56,243243.24
Conut - Tyre,Extras and Sides,1907027.0,0.0,85339458.32,59351350.56
Conut - Tyre,FREE CHIMNEY TOP,417162.16,0.0,7926080.98,5675675.6
Conut - Tyre,FREE CONUT TOP,121837.83,0.0,14796675.31,10148648.4
Conut - Tyre,FREE MINI TOP,0.0,0.0,2800945.88,1905405.36
Conut - Tyre,Frappes,1072702.69,0.0,53997999.32,37463062.59
Conut - Tyre,Free Chimney Cake Spreads,59594.59,0.0,595945.94,445945.94
Conut - Tyre,Free Conut Spreads,0.0,0.0,121837.83,82882.88
Conut - Tyre,Hot and Cold Drinks,0.0,0.0,62018105.21,42189187.22
Conut - Tyre,Hot-Coffee Based,0.0,0.0,72108134.45,49053152.69
Conut - Tyre,ITEMS,175251811.06,0.0,4832136331.16,3406386491.31
Conut - Tyre,MARSHMALLOW OPTIONS,0.0,0.0,238378.38,162162.16
Conut - Tyre,MILK OPTIONS,0.0,0.0,0.0,0.0
Conut - Tyre,MINI/CONUT/BOWL,360216.21,0.0,5064216.12,3690090.02
Conut - Tyre,Shakes,4648378.4,0.0,49523108.23,36851351.45
Conut - Tyre,coffee type,0.0,0.0,0.0,0.0
Conut - Tyre,free dip,0.0,0.0,953513.5,648648.64
Conut - Tyre,free mini spread,0.0,0.0,121837.83,82882.88
Conut Jnah,Bev Add-ons,0.0,5673405.29,0.0,3859459.38
Conut Jnah,CHIMNEY TOPPINGS,0.0,61144053.24,0.0,41594594.04
Conut Jnah,CONUT''S FAVORITE,0.0,34217891.79,0.0,23277477.41
Conut Jnah,Conuts,0.0,0.0,0.0,0.0
Conut Jnah,DRINK TYPE,0.0,0.0,0.0,0.0
Conut Jnah,Delivery Service,0.0,64362161.3,0.0,43783783.2
Conut Jnah,EXTRA CHIMNEY,0.0,7091756.66,0.0,4824324.26
Conut Jnah,EXTRA CONUT,0.0,2100378.34,0.0,1428828.8
Conut Jnah,EXTRA DIP,0.0,3098918.88,0.0,2108108.08
Conut Jnah,EXTRA MINI SPREAD,0.0,268837.83,0.0,182882.88
Conut Jnah,Extras and Sides,0.0,131584863.11,0.0,89513512.32
Conut Jnah,FREE CHIMNEY TOP,0.0,13825945.76,0.0,9405405.28
Conut Jnah,FREE CONUT TOP,0.0,13395540.23,0.0,9112612.4
Conut Jnah,FREE MINI TOP,0.0,3721351.28,0.0,2531531.48
Conut Jnah,Frappes,0.0,112376863.5,0.0,76446845.92
Conut Jnah,Free Chimney Cake Spreads,0.0,1251486.47,0.0,851351.34
Conut Jnah,Free Conut Spreads,0.0,60918.92,0.0,41441.44
Conut Jnah,Holder,0.0,0.0,0.0,0.0
Conut Jnah,Hot and Cold Drinks,0.0,244851662.58,0.0,166565756.86
Conut Jnah,Hot-Coffee Based,0.0,337104104.81,0.0,229322520.28
Conut Jnah,ITEMS,0.0,4501829977.88,0.0,3062469372.71
Conut Jnah,MARSHMALLOW OPTIONS,0.0,1787837.81,0.0,1216216.2
Conut Jnah,MILK OPTIONS,0.0,0.0,0.0,0.0
Conut Jnah,MINI/CONUT/BOWL,0.0,10324432.25,0.0,7023423.3
Conut Jnah,Shakes,0.0,138855405.79,0.0,94459459.72
Conut Jnah,coffee type,0.0,0.0,0.0,0.0
Conut Jnah,free dip,0.0,357567.56,0.0,243243.24
Conut Jnah,free mini spread,0.0,60918.92,0.0,41441.44
Main Street Coffee,Bev Add-ons,0.0,7225513.37,0.0,4915315.22
Main Street Coffee,CHIMNEY TOPPINGS,0.0,57151215.45,0.0,38878377.86
Main Street Coffee,CONUT''S FAVORITE,0.0,40643513.06,0.0,27648648.34
Main Street Coffee,Conuts,0.0,0.0,0.0,0.0
Main Street Coffee,DRINK TYPE,0.0,0.0,0.0,0.0
Main Street Coffee,Delivery Service,0.0,5005945.88,0.0,3405405.36
Main Street Coffee,EXTRA CHIMNEY,0.0,4112026.97,0.0,2797297.26
Main Street Coffee,EXTRA CONUT,0.0,2190432.39,0.0,1490090.06
Main Street Coffee,EXTRA DIP,0.0,3814054.0,0.0,2594594.56
Main Street Coffee,EXTRA MINI SPREAD,0.0,119189.19,0.0,81081.08
Main Street Coffee,Extras and Sides,0.0,80571890.82,0.0,54810810.08
Main Street Coffee,FREE CHIMNEY TOP,0.0,18176351.11,0.0,12364864.7
Main Street Coffee,FREE CONUT TOP,0.0,38098161.52,0.0,25917116.68
Main Street Coffee,FREE MINI TOP,0.0,8977594.47,0.0,6107207.12
Main Street Coffee,Frappes,0.0,31650026.66,0.0,21530630.38
Main Street Coffee,Free Chimney Cake Spreads,0.0,238378.38,0.0,162162.16
Main Street Coffee,Free Conut Spreads,0.0,91378.38,0.0,62162.16
Main Street Coffee,Hot and Cold Drinks,0.0,125289021.82,0.0,85230627.09
Main Street Coffee,Hot-Coffee Based,0.0,245201294.65,0.0,166803601.8
Main Street Coffee,ITEMS,0.0,4551892085.15,0.0,3096525227.99
Main Street Coffee,MARSHMALLOW OPTIONS,0.0,2145405.38,0.0,1459459.44
Main Street Coffee,MILK OPTIONS,0.0,0.0,0.0,0.0
Main Street Coffee,MINI/CONUT/BOWL,0.0,18013459.14,0.0,12254053.84
Main Street Coffee,Shakes,0.0,71394324.45,0.0,48567567.65
Main Street Coffee,coffee type,0.0,0.0,0.0,0.0
Main Street Coffee,free dip,0.0,119189.19,0.0,81081.08
Main Street Coffee,free mini spread,0.0,60918.92,0.0,41441.44
